draw_no,draw_date,main,supp,powerball,source
216,2000-07-06,3 11 17 22 27,,4,archive
217,2000-07-13,13 17 29 34 38,,4,archive
218,2000-07-20,18 23 25 38 39,,10,archive
219,2000-07-27,7 16 25 27 44,,15,archive
220,2000-08-03,13 17 32 33 38,,40,archive
221,2000-08-10,2 11 15 21 27,,35,archive
222,2000-08-17,2 15 26 29 41,,10,archive
223,2000-08-24,2 11 15 30 43,,30,archive
224,2000-08-31,10 15 26 37 40,,34,archive
225,2000-09-07,1 24 33 43 44,,30,archive
226,2000-09-14,1 11 15 24 45,,17,archive
227,2000-09-21,21 23 25 27 33,,41,archive
228,2000-09-28,9 12 30 44 45,,33,archive
229,2000-10-05,3 15 18 33 39,,45,archive
230,2000-10-12,8 12 14 24 38,,44,archive
231,2000-10-19,16 24 28 29 31,,33,archive
232,2000-10-26,2 30 35 40 41,,24,archive
233,2000-11-02,9 13 19 36 37,,41,archive
234,2000-11-09,7 12 13 25 40,,30,archive
235,2000-11-16,1 29 36 38 42,,37,archive
236,2000-11-23,4 8 15 32 38,,10,archive
237,2000-11-30,1 13 19 37 43,,6,archive
238,2000-12-07,10 22 23 34 43,,18,archive
239,2000-12-14,6 21 24 26 39,,28,archive
240,2000-12-21,17 21 30 42 43,,20,archive
241,2000-12-28,5 25 33 38 45,,21,archive
242,2001-01-04,13 25 31 36 37,,44,archive
243,2001-01-11,5 24 25 27 34,,27,archive
244,2001-01-18,9 16 23 29 31,,44,archive
245,2001-01-25,3 6 8 13 27,,19,archive
246,2001-02-01,1 7 34 37 44,,15,archive
247,2001-02-08,9 12 36 39 42,,18,archive
248,2001-02-15,15 16 19 27 36,,24,archive
249,2001-02-22,3 8 16 19 43,,26,archive
250,2001-03-01,4 8 19 24 45,,34,archive
251,2001-03-08,3 4 6 19 35,,20,archive
252,2001-03-15,5 19 33 37 41,,34,archive
253,2001-03-22,3 13 16 26 40,,16,archive
254,2001-03-29,8 11 25 33 45,,40,archive
